Name,Season,All Star Status
Tim Hardaway,1998,1
Terry Porter,1991,1
Terry Porter,1993,1
Michael Adams,1992,1
Jeff Hornacek,1992,1
Reggie Lewis,1992,1
Otis Thorpe,1992,1
Kevin Willis,1992,1
Dan Majerle,1992,1
Dan Majerle,1993,1
Dan Majerle,1995,1
Dikembe Mutombo,1992,1
Dikembe Mutombo,1995,1
Dikembe Mutombo,1996,1
Dikembe Mutombo,1997,1
Dikembe Mutombo,1998,1
Dikembe Mutombo,2000,1
Dikembe Mutombo,2001,1
Dikembe Mutombo,2002,1
Danny Manning,1993,1
Danny Manning,1994,1
Shawn Kemp,1993,1
Shawn Kemp,1994,1
Shawn Kemp,1995,1
Shawn Kemp,1996,1
Shawn Kemp,1997,1
Shawn Kemp,1998,1
Mitch Richmond,1993,1
Mitch Richmond,1994,1
Mitch Richmond,1995,1
Mitch Richmond,1996,1
Mitch Richmond,1997,1
Mitch Richmond,1998,1
Shaquille O'Neal,1993,1
Shaquille O'Neal,1994,1
Shaquille O'Neal,1995,1
Shaquille O'Neal,1996,1
Shaquille O'Neal,1997,1
Shaquille O'Neal,1998,1
Shaquille O'Neal,2000,1
Shaquille O'Neal,2001,1
Shaquille O'Neal,2002,1
Shaquille O'Neal,2003,1
Shaquille O'Neal,2004,1
Shaquille O'Neal,2005,1
Shaquille O'Neal,2006,1
Shaquille O'Neal,2007,1
Shaquille O'Neal,2009,1
Larry Johnson,1993,1
Larry Johnson,1995,1
Detlef Schrempf,1993,1
Detlef Schrempf,1995,1
Detlef Schrempf,1997,1
Sean Elliott,1993,1
Sean Elliott,1996,1
Kenny Anderson,1994,1
B. J. Armstrong,1994,1
Mookie Blaylock,1994,1
Derrick Coleman,1994,1
Horace Grant,1994,1
Charles Oakley,1994,1
Clifford Robinson,1994,1
John Starks,1994,1
Latrell Sprewell,1994,1
Latrell Sprewell,1995,1
Latrell Sprewell,1997,1
Latrell Sprewell,2001,1
Alonzo Mourning,1994,1
Alonzo Mourning,1995,1
Alonzo Mourning,1996,1
Alonzo Mourning,1997,1
Alonzo Mourning,2000,1
Alonzo Mourning,2001,1
Alonzo Mourning,2002,1
Gary Payton,1994,1
Gary Payton,1995,1
Gary Payton,1996,1
Gary Payton,1997,1
Gary Payton,1998,1
Gary Payton,2000,1
Gary Payton,2001,1
Gary Payton,2002,1
Gary Payton,2003,1
Dana Barros,1995,1
Cedric Ceballos,1995,1
Tyrone Hill,1995,1
Vin Baker,1995,1
Vin Baker,1996,1
Vin Baker,1997,1
Vin Baker,1998,1
Penny Hardaway,1995,1
Penny Hardaway,1996,1
Penny Hardaway,1997,1
Penny Hardaway,1998,1
Grant Hill,1995,1
Grant Hill,1996,1
Grant Hill,1997,1
Grant Hill,1998,1
Grant Hill,2000,1
Grant Hill,2001,1
Grant Hill,2005,1
Juwan Howard,1996,1
Terrell Brandon,1996,1
Terrell Brandon,1997,1
Glen Rice,1996,1
Glen Rice,1997,1
Glen Rice,1998,1
Jason Kidd,1996,1
Jason Kidd,1998,1
Jason Kidd,2000,1
Jason Kidd,2001,1
Jason Kidd,2002,1
Jason Kidd,2003,1
Jason Kidd,2004,1
Jason Kidd,2007,1
Jason Kidd,2008,1
Jason Kidd,2010,1
Chris Gatling,1997,1
Tom Gugliotta,1997,1
Christian Laettner,1997,1
Eddie Jones,1997,1
Eddie Jones,1998,1
Eddie Jones,2000,1
Kevin Garnett,1997,1
Kevin Garnett,1998,1
Kevin Garnett,2000,1
Kevin Garnett,2001,1
Kevin Garnett,2002,1
Kevin Garnett,2003,1
Kevin Garnett,2004,1
Kevin Garnett,2005,1
Kevin Garnett,2006,1
Kevin Garnett,2007,1
Kevin Garnett,2008,1
Kevin Garnett,2009,1
Kevin Garnett,2010,1
Kevin Garnett,2011,1
Kevin Garnett,2013,1
Chris Webber,1997,1
Chris Webber,2000,1
Chris Webber,2001,1
Chris Webber,2002,1
Chris Webber,2003,1
Steve Smith,1998,1
Rik Smits,1998,1
Nick Van Exel,1998,1
Jayson Williams,1998,1
Tim Duncan,1998,1
Tim Duncan,2000,1
Tim Duncan,2001,1
Tim Duncan,2002,1
Tim Duncan,2003,1
Tim Duncan,2004,1
Tim Duncan,2005,1
Tim Duncan,2006,1
Tim Duncan,2007,1
Tim Duncan,2008,1
Tim Duncan,2009,1
Tim Duncan,2010,1
Tim Duncan,2011,1
Tim Duncan,2013,1
Tim Duncan,2015,1
Kobe Bryant,1998,1
Kobe Bryant,2000,1
Kobe Bryant,2001,1
Kobe Bryant,2002,1
Kobe Bryant,2003,1
Kobe Bryant,2004,1
Kobe Bryant,2005,1
Kobe Bryant,2006,1
Kobe Bryant,2007,1
Kobe Bryant,2008,1
Kobe Bryant,2009,1
Kobe Bryant,2010,1
Kobe Bryant,2011,1
Kobe Bryant,2012,1
Kobe Bryant,2013,1
Kobe Bryant,2014,1
Kobe Bryant,2015,1
Kobe Bryant,2016,1
Antoine Walker,1998,1
Antoine Walker,2002,1
Antoine Walker,2003,1
Dale Davis,2000,1
Michael Finley,2000,1
Michael Finley,2001,1
Allan Houston,2000,1
Allan Houston,2001,1
Glenn Robinson,2000,1
Glenn Robinson,2001,1
Jerry Stackhouse,2000,1
Jerry Stackhouse,2001,1
Rasheed Wallace,2000,1
Rasheed Wallace,2001,1
Rasheed Wallace,2006,1
Rasheed Wallace,2008,1
Ray Allen,2000,1
Ray Allen,2001,1
Ray Allen,2002,1
Ray Allen,2004,1
Ray Allen,2005,1
Ray Allen,2006,1
Ray Allen,2007,1
Ray Allen,2008,1
Ray Allen,2009,1
Ray Allen,2011,1
Vince Carter,2000,1
Vince Carter,2001,1
Vince Carter,2002,1
Vince Carter,2003,1
Vince Carter,2004,1
Vince Carter,2005,1
Vince Carter,2006,1
Vince Carter,2007,1
Allen Iverson,2000,1
Allen Iverson,2001,1
Allen Iverson,2002,1
Allen Iverson,2003,1
Allen Iverson,2004,1
Allen Iverson,2005,1
Allen Iverson,2006,1
Allen Iverson,2007,1
Allen Iverson,2008,1
Allen Iverson,2009,1
Allen Iverson,2010,1
Antonio Davis,2001,1
Vlade Divac,2001,1
Anthony Mason,2001,1
Antonio McDyess,2001,1
Theo Ratliff,2001,1
Tracy McGrady,2001,1
Tracy McGrady,2002,1
Tracy McGrady,2003,1
Tracy McGrady,2004,1
Tracy McGrady,2005,1
Tracy McGrady,2006,1
Tracy McGrady,2007,1
Stephon Marbury,2001,1
Stephon Marbury,2003,1
Shareef Abdur-Rahim,2002,1
Wally Szczerbiak,2002,1
Steve Nash,2002,1
Steve Nash,2003,1
Steve Nash,2005,1
Steve Nash,2006,1
Steve Nash,2007,1
Steve Nash,2008,1
Steve Nash,2010,1
Steve Nash,2012,1
Steve Francis,2002,1
Steve Francis,2003,1
Steve Francis,2004,1
Peja Stojakovic,2002,1
Peja Stojakovic,2003,1
Peja Stojakovic,2004,1
Paul Pierce,2002,1
Paul Pierce,2003,1
Paul Pierce,2004,1
Paul Pierce,2005,1
Paul Pierce,2006,1
Paul Pierce,2008,1
Paul Pierce,2009,1
Paul Pierce,2010,1
Paul Pierce,2011,1
Paul Pierce,2012,1
Jermaine O'Neal,2002,1
Jermaine O'Neal,2003,1
Jermaine O'Neal,2004,1
Jermaine O'Neal,2005,1
Jermaine O'Neal,2006,1
Jermaine O'Neal,2007,1
Dirk Nowitzki,2002,1
Dirk Nowitzki,2003,1
Dirk Nowitzki,2004,1
Dirk Nowitzki,2005,1
Dirk Nowitzki,2006,1
Dirk Nowitzki,2007,1
Dirk Nowitzki,2008,1
Dirk Nowitzki,2009,1
Dirk Nowitzki,2010,1
Dirk Nowitzki,2011,1
Dirk Nowitzki,2012,1
Dirk Nowitzki,2014,1
Dirk Nowitzki,2015,1
Dirk Nowitzki,2019,1
Baron Davis,2002,1
Baron Davis,2004,1
Elton Brand,2002,1
Elton Brand,2006,1
Jamal Mashburn,2003,1
Brad Miller,2003,1
Brad Miller,2004,1
Ben Wallace,2003,1
Ben Wallace,2004,1
Ben Wallace,2005,1
Ben Wallace,2006,1
Yao Ming,2003,1
Yao Ming,2004,1
Yao Ming,2005,1
Yao Ming,2006,1
Yao Ming,2007,1
Yao Ming,2008,1
Yao Ming,2009,1
Yao Ming,2011,1
Zydrunas Ilgauskas,2003,1
Zydrunas Ilgauskas,2005,1
Shawn Marion,2003,1
Shawn Marion,2005,1
Shawn Marion,2006,1
Shawn Marion,2007,1
Sam Cassell,2004,1
Andrei Kirilenko,2004,1
Jamaal Magloire,2004,1
Kenyon Martin,2004,1
Michael Redd,2004,1
Metta World Peace,2004,1
Gilbert Arenas,2005,1
Gilbert Arenas,2006,1
Gilbert Arenas,2007,1
Dwyane Wade,2005,1
Dwyane Wade,2006,1
Dwyane Wade,2007,1
Dwyane Wade,2008,1
Dwyane Wade,2009,1
Dwyane Wade,2010,1
Dwyane Wade,2011,1
Dwyane Wade,2012,1
Dwyane Wade,2013,1
Dwyane Wade,2014,1
Dwyane Wade,2015,1
Dwyane Wade,2016,1
Dwyane Wade,2019,1
LeBron James,2005,1
LeBron James,2006,1
LeBron James,2007,1
LeBron James,2008,1
LeBron James,2009,1
LeBron James,2010,1
LeBron James,2011,1
LeBron James,2012,1
LeBron James,2013,1
LeBron James,2014,1
LeBron James,2015,1
LeBron James,2016,1
LeBron James,2017,1
LeBron James,2018,1
LeBron James,2019,1
LeBron James,2020,1
LeBron James,2021,1
Amar'e Stoudemire,2005,1
Amar'e Stoudemire,2007,1
Amar'e Stoudemire,2008,1
Amar'e Stoudemire,2009,1
Amar'e Stoudemire,2010,1
Amar'e Stoudemire,2011,1
Antawn Jamison,2005,1
Antawn Jamison,2008,1
Rashard Lewis,2005,1
Rashard Lewis,2009,1
Manu Ginobili,2005,1
Manu Ginobili,2011,1
Tony Parker,2006,1
Tony Parker,2007,1
Tony Parker,2009,1
Tony Parker,2012,1
Tony Parker,2013,1
Tony Parker,2014,1
Richard Hamilton,2006,1
Richard Hamilton,2007,1
Richard Hamilton,2008,1
Chauncey Billups,2006,1
Chauncey Billups,2007,1
Chauncey Billups,2008,1
Chauncey Billups,2009,1
Chauncey Billups,2010,1
Chris Bosh,2006,1
Chris Bosh,2007,1
Chris Bosh,2008,1
Chris Bosh,2009,1
Chris Bosh,2010,1
Chris Bosh,2011,1
Chris Bosh,2012,1
Chris Bosh,2013,1
Chris Bosh,2014,1
Chris Bosh,2015,1
Chris Bosh,2016,1
Pau Gasol,2006,1
Pau Gasol,2009,1
Pau Gasol,2010,1
Pau Gasol,2011,1
Pau Gasol,2015,1
Pau Gasol,2016,1
Josh Howard,2007,1
Mehmet Okur,2007,1
Carlos Boozer,2007,1
Carlos Boozer,2008,1
Caron Butler,2007,1
Caron Butler,2008,1
Carmelo Anthony,2007,1
Carmelo Anthony,2008,1
Carmelo Anthony,2010,1
Carmelo Anthony,2011,1
Carmelo Anthony,2012,1
Carmelo Anthony,2013,1
Carmelo Anthony,2014,1
Carmelo Anthony,2015,1
Carmelo Anthony,2016,1
Carmelo Anthony,2017,1
Joe Johnson,2007,1
Joe Johnson,2008,1
Joe Johnson,2009,1
Joe Johnson,2010,1
Joe Johnson,2011,1
Joe Johnson,2012,1
Joe Johnson,2014,1
Dwight Howard,2007,1
Dwight Howard,2008,1
Dwight Howard,2009,1
Dwight Howard,2010,1
Dwight Howard,2011,1
Dwight Howard,2012,1
Dwight Howard,2013,1
Dwight Howard,2014,1
David West,2008,1
David West,2009,1
Brandon Roy,2008,1
Brandon Roy,2009,1
Brandon Roy,2010,1
Chris Paul,2008,1
Chris Paul,2009,1
Chris Paul,2010,1
Chris Paul,2011,1
Chris Paul,2012,1
Chris Paul,2013,1
Chris Paul,2014,1
Chris Paul,2015,1
Chris Paul,2016,1
Chris Paul,2020,1
Chris Paul,2021,1
Danny Granger,2009,1
Devin Harris,2009,1
Jameer Nelson,2009,1
Mo Williams,2009,1
Chris Kaman,2010,1
Gerald Wallace,2010,1
Al Horford,2010,1
Al Horford,2011,1
Al Horford,2015,1
Al Horford,2016,1
Al Horford,2018,1
Derrick Rose,2010,1
Derrick Rose,2011,1
Derrick Rose,2012,1
Deron Williams,2010,1
Deron Williams,2011,1
Deron Williams,2012,1
Rajon Rondo,2010,1
Rajon Rondo,2011,1
Rajon Rondo,2012,1
Rajon Rondo,2013,1
Kevin Durant,2010,1
Kevin Durant,2011,1
Kevin Durant,2012,1
Kevin Durant,2013,1
Kevin Durant,2014,1
Kevin Durant,2015,1
Kevin Durant,2016,1
Kevin Durant,2017,1
Kevin Durant,2018,1
Kevin Durant,2019,1
Kevin Durant,2021,1
David Lee,2010,1
David Lee,2013,1
Zach Randolph,2010,1
Zach Randolph,2013,1
Kevin Love,2011,1
Kevin Love,2012,1
Kevin Love,2014,1
Kevin Love,2017,1
Kevin Love,2018,1
Russell Westbrook,2011,1
Russell Westbrook,2012,1
Russell Westbrook,2013,1
Russell Westbrook,2015,1
Russell Westbrook,2016,1
Russell Westbrook,2017,1
Russell Westbrook,2018,1
Russell Westbrook,2019,1
Russell Westbrook,2020,1
Blake Griffin,2011,1
Blake Griffin,2012,1
Blake Griffin,2013,1
Blake Griffin,2014,1
Blake Griffin,2015,1
Blake Griffin,2019,1
Andrew Bynum,2012,1
Andre Iguodala,2012,1
Luol Deng,2012,1
Luol Deng,2013,1
LaMarcus Aldridge,2012,1
LaMarcus Aldridge,2013,1
LaMarcus Aldridge,2014,1
LaMarcus Aldridge,2015,1
LaMarcus Aldridge,2016,1
LaMarcus Aldridge,2018,1
LaMarcus Aldridge,2019,1
Roy Hibbert,2012,1
Roy Hibbert,2014,1
Marc Gasol,2012,1
Marc Gasol,2015,1
Marc Gasol,2017,1
Tyson Chandler,2013,1
Jrue Holiday,2013,1
Brook Lopez,2013,1
Joakim Noah,2013,1
Joakim Noah,2014,1
Paul George,2013,1
Paul George,2014,1
Paul George,2016,1
Paul George,2017,1
Paul George,2018,1
Paul George,2019,1
Paul George,2021,1
Kyrie Irving,2013,1
Kyrie Irving,2014,1
Kyrie Irving,2015,1
Kyrie Irving,2017,1
Kyrie Irving,2018,1
Kyrie Irving,2019,1
Kyrie Irving,2021,1
James Harden,2013,1
James Harden,2014,1
James Harden,2015,1
James Harden,2016,1
James Harden,2017,1
James Harden,2018,1
James Harden,2019,1
James Harden,2020,1
James Harden,2021,1
Damian Lillard,2014,1
Damian Lillard,2015,1
Damian Lillard,2018,1
Damian Lillard,2019,1
Damian Lillard,2020,1
Damian Lillard,2021,1
Paul Millsap,2014,1
Paul Millsap,2015,1
Paul Millsap,2016,1
Paul Millsap,2017,1
John Wall,2014,1
John Wall,2015,1
John Wall,2016,1
John Wall,2017,1
John Wall,2018,1
Stephen Curry,2014,1
Stephen Curry,2015,1
Stephen Curry,2016,1
Stephen Curry,2017,1
Stephen Curry,2018,1
Stephen Curry,2019,1
Stephen Curry,2021,1
Anthony Davis,2014,1
Anthony Davis,2015,1
Anthony Davis,2016,1
Anthony Davis,2017,1
Anthony Davis,2018,1
Anthony Davis,2019,1
Anthony Davis,2020,1
Anthony Davis,2021,1
DeMar DeRozan,2014,1
DeMar DeRozan,2016,1
DeMar DeRozan,2017,1
DeMar DeRozan,2018,1
Kyle Korver,2015,1
Jeff Teague,2015,1
DeMarcus Cousins,2015,1
DeMarcus Cousins,2016,1
DeMarcus Cousins,2017,1
DeMarcus Cousins,2018,1
Jimmy Butler,2015,1
Jimmy Butler,2016,1
Jimmy Butler,2017,1
Jimmy Butler,2018,1
Jimmy Butler,2020,1
Klay Thompson,2015,1
Klay Thompson,2016,1
Klay Thompson,2017,1
Klay Thompson,2018,1
Klay Thompson,2019,1
Kyle Lowry,2015,1
Kyle Lowry,2016,1
Kyle Lowry,2017,1
Kyle Lowry,2018,1
Kyle Lowry,2019,1
Kyle Lowry,2020,1
Isaiah Thomas,2016,1
Isaiah Thomas,2017,1
Kawhi Leonard,2016,1
Kawhi Leonard,2017,1
Kawhi Leonard,2019,1
Kawhi Leonard,2020,1
Kawhi Leonard,2021,1
Draymond Green,2016,1
Draymond Green,2017,1
Draymond Green,2018,1
Andre Drummond,2016,1
Andre Drummond,2018,1
Gordon Hayward,2017,1
DeAndre Jordan,2017,1
Kemba Walker,2017,1
Kemba Walker,2018,1
Kemba Walker,2019,1
Kemba Walker,2020,1
Giannis Antetokounmpo,2017,1
Giannis Antetokounmpo,2018,1
Giannis Antetokounmpo,2019,1
Giannis Antetokounmpo,2020,1
Giannis Antetokounmpo,2021,1
Goran Dragic,2018,1
Kristaps Porzingis,2018,1
Victor Oladipo,2018,1
Victor Oladipo,2019,1
Karl-Anthony Towns,2018,1
Karl-Anthony Towns,2019,1
Bradley Beal,2018,1
Bradley Beal,2019,1
Bradley Beal,2021,1
Joel Embiid,2018,1
Joel Embiid,2019,1
Joel Embiid,2020,1
Joel Embiid,2021,1
D'Angelo Russell,2019,1
Khris Middleton,2019,1
Khris Middleton,2020,1
Nikola Jokic,2019,1
Nikola Jokic,2020,1
Nikola Jokic,2021,1
Ben Simmons,2019,1
Ben Simmons,2020,1
Ben Simmons,2021,1
Nikola Vucevic,2019,1
Nikola Vucevic,2021,1
Bam Adebayo,2020,1
Brandon Ingram,2020,1
Pascal Siakam,2020,1
Trae Young,2020,1
Devin Booker,2020,1
Devin Booker,2021,1
Luka Doncic,2020,1
Luka Doncic,2021,1
Rudy Gobert,2020,1
Rudy Gobert,2021,1
Donovan Mitchell,2020,1
Donovan Mitchell,2021,1
Domantas Sabonis,2020,1
Domantas Sabonis,2021,1
Jayson Tatum,2020,1
Jayson Tatum,2021,1
Jaylen Brown,2021,1
Mike Conley,2021,1
Zach LaVine,2021,1
Julius Randle,2021,1
Zion Williamson,2021,1
